id,text,label
er_82f06947c8ff,"Career and Growth at IBM 1. You get an opportunity to work on your corner of interest, even though you are working on some thing else. How? You can opt for some stretch assignment and explore new skills or work on your choice/interest of skill set. 
2. You get an opportunity to showcase your skills and achievements. How? Lot of paper presentations, patents, Technical events held within IBM 
3. Growth in career is easy at IBM. How ? Lot of Certifications and online courses are available within IBM. Also adapting to new skills and opportunities to implement the same are easy in IBM
4. Employee friendly environment. How? Flexible timings, work from home/remote location options 1. Technical events do happen but the entry to other IBMers is limited due to number constraint. So only a few get a chance to attend these events. We need more such events and should be open to more IBMers.",
er_475fb6d60ed4,"Terrible place to work Friendly colleagues and always busy. terrible management - unprofessional with staff and customers alike, school like environment and 0 freedom to take initiative.",
er_17cf42e25aac,"Management is not clear on goals, tries to blame team members for failure. Good working environment
Small office of 100 people or so Management is not clear on the goals.
The communication of goals needs to be clearer, this confusion leads ot wasted resource cycles.",
er_b439950351ce,"An exciting and fast paced place to work Wonderful and supportive office atmosphere. The work is interesting and cutting edge and there is real opportunity to follow your own passions and influence the direction of products. The teams are inspiring and the goals, although very grand, are definitely worth striving for The work can be chaotic and priorities change quickly, but that is the nature of most start-ups. The work can be stressful, but it is nothing compared to my previous job in the NHS",
er_23e1fed7f1c0,"Not a great place to be Very, VERY nice people - super polite and ultra-genteel... lots of holding doors open.
Sensible hours (sometimes!) and ok to leave early / work from home if needed. Shambolic management.  No leadership.  No clear strategy.  Processes are a farce and project managers are slapped for trying to make a square process fit into a round reality.
Very uncaring - which is pretty shocking.  The polite veneer hides quite a two-faced and sly political undercurrent",
er_a82f761bbfa8,"No work life balance Most people are great to work with Long hours, no work life balance",
er_be084b0a3bab,Overall Good place to work for exposure None that I can think of,
er_730b21226206,"Deloitte Work from home policy flexible timings Work pressure, no work life balance",
er_c47941271863,"IBM is what you make of it If you are a go-getter and pro-active about advancing your career, you will climb the ladder. A key to advancement is working cross team and with management several tiers above you.  Most of the time you can pick your hours and work from home, extremely flexible. There is so much entrenched bureaucracy, sometimes it makes you want to scream. There are definitely glass ceilings everywhere and you have to know how to break through them or sidestep them.  Make sure to negotiate a good salary. Every person is different and has a different salary even if you are the same band level. IBM runs on strict margins, so money can be tight and even as a high performer you often wonder if you'll be cut in the next round of layoffs.",
er_414ef56f35eb,"Technology Project Manager Nice work culture, very easy going people. People respect each other. On site fitness center. Great cafeteria. Not fair in terms of giving promotions. Bonus & pay raise sucks.",
er_fc129adc74f4,"Dream career but still a job Valued, paid fair, work life balance, benefits, and so much more Still a job and deal with personalities that do it mesh. Still a job and have to put in the work to be successful.",
er_37b8d5ee6c4a,Okay- Fast paced Good salary and some nice people Older staff who have been there for years are very dominant and like to think they are always right. Management sometimes not around and try to think you're speedy gonzales,
er_a56761f59c1f,"The worst possible job of all time. Great discounts. Benefits. They try to implement a career path strategy to grow within the company. 
Atleast at first they will. Hiring managers from outside. Treat you like scum. Very much a retail experience not much different working at a clothing store. Except there, they don't have a superiority complex.",
er_287137556a95,Not for everyone Base Pay is decent. They do fun things to reward the teams if you do well. They feed you and you can drink in the office on Fridays. Lunch break is flexible/onsite gym. GREAT bennies. You get fed to the wolves as soon as you start - must be self sufficient or you will drown. Obsessed with metrics that mean nothing. Questions get lost through higher-ups and no one ever has an answer. Commission is a mess and takes MONTHS to be paid out. Deals get taken away from you all the time and there is nothing you can do about it.,
er_414814a4a88f,"Great place but a little stuffy at the same time Flextime - no one cares where you are or what you are doing at any given point in time as long as  work gets done on time.
Variety - lots of unique and challenging engagements, you rarely do the same thing twice. Too much focus on client chargability (utilization) - even at Manager and Senior Manager levels the pressure is insane - your career aspirations or goals play second fiddle to this.

Office politics - this is a Vancouver thing, its a small tough market all about relationships...",
er_575cdde4c2dd,"Experiences sales and marketing professional with proven track record of delivering results Flexibility of working remotely, Talented people, Great technology Too big, top down approach",
er_16f59bf6fce4,"Great place to work Professional, hard working staff but also a fun place to work.
Flexibility.  Good working hours.  Ability to work from home. None to speak of really.",
er_fda1fd3face6,Good Place to Work Rewarding chance to work for industry leader Long Days. A lot is expected from every employee,
er_df447cbe5ed3,"Pay more to retain staff Hotel discount. 
Relatively easy going people to work with. Very disorganised. 
Pay is dreadful. Minimum wage . but expect the absolute world from you. 
Staff turnover is very high and no one really cares as everyone is paid dreadful and treated dreadfully. 
Shift work, very bad hours.",
er_ffdfd19dc315,"Software Test Engineer friendly environment
you have a permit to work two days from home per month won't learn a lot
low pay
slow promotion",
er_3246f9cb30de,BArclays Good work life balance here Work from home issue here,
er_7114ec58b569,"There are advantages to working for a large company like IBM Flexible work environment, ability to work remote no raises, given the size of IBM I thought there would be opportunity for movement across brands and divisions. Many jobs are offshored",
er_d865be7f41b7,"Good company with long history, but some concerns for future direction Given the size and breadth of the company, there are many opportunities for career growth. Generally well-respected company at least gets you a foot in the door with clients. Constantly re-inventing itself to stay relevant and ahead of the curve. Flexible work options (e.g., work from home) although this is changing and shifting to greater emphasis on physically being in the same office with your team. Constantly re-inventing itself means frequent churn, in some area more than others. Quick to cut funding (marketing, projects, etc.) in order to make quarterly targets. Along the same lines, there are many jobs pushed offshore which can cause unease -- and goes against the push to have teams co-located.",
er_0c6da6010743,"Bain - A challenging, fast paced, collaborative, and rewarding place to work Work with the smartest people you will ever meet, solve companies hardest problems, have a real and immediate impact on your clients There is no doubt - consulting is demanding and Bain is no exception.  You will work very hard and push yourself.",
er_70ec1ee5a5ba,"A good place to learn, a bad place to stagnate. - Opportunity to learn 
- Flexible hours
- Good annual leave package
- Remote working at your discretion
- Varied projects - Liars everywhere, disingenuous leadership  
- Lack of progression into senior roles
- Illogical decision-making
- Boring ‘lifer’ colleagues
- You can’t have a great career here",
er_c7ca073c2676,"Okay place to work Fun, exciting, relaxed place to work Very old buildings company needs to invest in office",
er_21938e4df85b,"Run by beancounters Not expected to work over your contracted hours
Benefits towards the top end - enhanced maternity pay
Most people get on well with each other
Probably much better in a business unit rather than Group
Swimming Pool Low salaries - kingswood is not in Central London, but still need London wages to tempt those from London to work there.
High levels of poorly managed out-sourcing
Silo business structure with no joined up thinking
Very antiquated IT systems, some originating from the 1960s!
Not progressive
Parts of HR have been out-sourced
Can only park in the car park 4 out of 5 days per week - need to nominate a no park day
Seen by management to be a 'lifestyle' choice to work there meaning we don't pay you much and don't expect long working hours or any chances of promotion.
PCs with floppy disk drives!! - No real investment in IT infrastructure 
Still on MS office 2000 for most staff
Very slow processes. Some processes are just there to justify the hierarchical management structure.",
er_87aebafbe1ba,"Great environment, tough to move vertically Loved the people I worked with, passionate about the products we produced Barely any upward movement, worked there for years in the same position, supervisor was very happy with performance but constant restructuring meant that there was a lot of politics and that counted more than performance.",
er_ad33b71fc4aa,pros and cons encourages flexible working including working from home pressurised work environment with harsh reviews,
er_74fa48cad749,"Good, stable and slow to take decisions I salary is around the average. Company allows you to grow if you work to it. Lots of good things in IT happens at IBM, mainly cloud, mobile, database, etc. It is definitely a place to stay n touch with very recent technologies. Benefits are good too. Definitely Home Office is a major benefit to me. It is easy to find experts for any IT area, like people that wrote the books you read at school work for IBM. This is awesome !!! Due to its big size, there are tons of process even for small things. You are required to run into education courses not related to your day to day job. Even though there is space to grow, things are VERY slow. Appraisal process is like a pain in the and the results are not always clear.",
er_f5abbba29ce3,"HR Great exposure for someone who wants to become HRBP. 
Good benefits, decent salary A lot of travel
Very traditional, little innovation or creativity",
er_a856e41ee00b,"Great Place to Work - Very good learning
- Best in class integrated business solution.
- Nice work environment
- Reasonable work life balance - Too big.
- Takes time for process change.
- Flat organization",
er_9d0ff5a91f79,Good work-life balance Very good work life balance Short of many onsite exposure,
er_c2c902a57603,analyst pretty good flexibility (could wfh) pay relatively low compared with other companies,
er_8f149d000eb9,"Post-doctoral fellow great lab facilities, big university you dont get everything everywhere",
