id,text,label
er_5aac5295b3d7,"Deloitte work here only if you have to Good people there are several good people here but there are also many who are just there to give you a hard time. The work is challenining sometimes but there are several weeks where you just do nothing, some times projects are so badly organized that you are sitting at the client site without internet access for weeks. If you like to travel its a great place to work, however it all depends on your project and project partner. Some times they negotiate a crappy deal for the consultants just so they can save a few pennies and sell more work. The hours can get very long sometimes, you have to wake up at 5:00am on mondays to catch the flight and you usually work till 8:00pm. Several weeks you will be expected to work weekends either from the client site or from home. They also require you to complete over 100 hours of training every year which equates to over 2 weeks of additional work (again done on the weekends). Getting vacation sometimes is a pain in the ass because it needs to be apporved by 3 or 4 people. And there are no bonuses or incentive based compensation until you get to the manager level, and you got to kiss some serious ass to get there.",
er_2e10ad5adada,"Loved it. Great experience to work in a global company with many talented people. Might be very virtual for some people.
Very complex.",
er_e6b81c97bb66,"Bad experience...not very ethical (shareholders company all about max. profit) The people and the various cultures is rewarding... Sweatshop mentality and a poor work/life balance as you must work 45+hrs weekly to reach measures (where so much reduces your ute) and receive no annual reward (base increase or otherwise), even if you meet all targets/measures. Deceived by being hired for one role with identified tasks/duties and quickly realized it was not true. Pushed to work more than 48hrs/week regularly (against labour laws). No employees at current location able to work from home. Expected to work outside my areas of expertise (with no training). Expected/pushed to work some weekends.",
er_db2547d364c4,"""Nice"" place to work Great benefits, lots of emphasis on wellness, health, healthy food in cafeteria, diversity and inclusion, employee surveys, flexible working is encouraged, easy hours, great if you have a long commute and a family.  Great for young people. Static management structure, hard to get promoted, hard to get recognition for making money for the company as they are more interested in networking and politics.  Easy to get lazy as there is little incentive to perform.  Goals are a mystery.  Not great for ambitious senior staff - they do not stick around.",
er_bcd0497fc8b3,good work life balance overall good work life balance overall less onsite opportunities and technology shift is tough,
er_825d2d1b49d0,"Most incredible culture I have never worked for an organization where everyone from the mail room and copy room attendant to the executive office are so maniacally focussed on serving the best interests of the client. Goldman Sachs requires a complete commitment to excellent, which requires hard word and stiff competition to bring the best ideas to the client while at the same time creating a work culture where teamwork, honesty and efficiency are all valued.  Its an environment that constantly is pushing you to improve.",
er_a66f99164693,"Large Organization and many opportunities Good number of vacation days (20 days to start, +5 after 3yrs)
Global presence
Work-life balance — allowed to work from home to fit your schedule and needs IT jobs are going offshore
Less about retaining talented people and more about cutting cost
More work with less people",
er_6f483e8a9c93,"Professional Scorer (work from home) The flexibility and autonomy of working from home as a Scorer. For example, there is not strict adherence to shifts and no micro-management. Limited advancement opportunities for work from home Scorers. Also, all scoring positions are only project-based not permanent work.",
er_ec6382a246e0,working at IBM work life balance is good very low salary and not good for freshers,
er_53847a3f5cce,"great company autonomy, opportunity, well resourced, high calibre staff: iron sharpens iron. good payer, ethical treatment of staff. global giant software org, matrix management, very siloed, non-agile, red tape galore",
er_2a6a94bdb694,"Great work enviroment Great co-workers
Steep learning curve
Great Company to have on the CV The cons are the ones in this industry, but it dosen't feel as extreme as expected",
er_ca207654ebe1,"EY Shinnihon Office Place, D & I, Salary, Share Assurance got sanctions from Government recently.",
er_21a4d120122c,"Fun company Great team feel in the office
Possibility of advancement 
Relocation package for some positions Not as many additional perks as some companies 
Can feel a bit ‘high school’ at times",
er_402168b8fde2,"Work at IBM Good working environment
Offers flexibiity in terms of daily works and work from home facilities
Encouragement towards learning through certification and badges Lesser salary hikes and bonus compared to other companies
3 months notice period",
er_f612710c6e11,Good Place to Learn You will have a lot of chances to learn and work and try something new. Work-Life Integration and basically no senior support in the project.,
er_69a861c93b8c,"Great place to work but limited growth options Great people, great office location (no NYC commute), and nice perks (Cafeteria you'd actually want to eat in, Dry cleaners on site, etc) They do not hire people permanently to avoid paying benefit costs. Limited growth opportunities.  Really low salary.",
er_86b158625842,"Great Company Great Team
Continuous Professional Development
Great Bonuses
Great Perks Distance from home to work",
er_a8864ad07904,"Exceeded expectations Positive attitude towards staff and culture of excellence.
Excellent office facilities
Friendly staff Like every large company there are many people and departments to learn and policies and training to complete.",
er_e364c4b63e0b,"Sourcing ATX Great perks and benefits
Excellent work-life balance
Super casual work environment
Hyper-collaborative teams
Very friendly coworkers
High employee engagement
Easy to build new skills
Reputable and we'll regarded brand Promotions and raises seem more infrequent
Hard to stand out on merit alone
Regional office cultures, not as standard",
er_ba4d519efb8c,"Good for career start Benefits, office location, life/work balance, young teams, quite friendly, really multinational. If you don't want to work hard and have stable good job in stable environment - TR is your choice. Hard career growth, low salaries, hard moving between teams, not intellectually demanding job. If you want to grow professionally and are ready to get more salary, more high position and ready to pay for it with extra efforts - it will not be appreciated.",
er_1fd9b9a9e850,"Review Lots of change with enables career progression, targets external market for recruiting into operations, good and easy location with parking on site High turnover of staff, senior management communicate changes without consideration of their people, changes rapidly to market, fails to deliver on feedback",
er_479de0815503,"Great company to work for, but lack of traditional ladder The people are superb. No 'remit culture' with people sticking to their specific tasks; everyone wants to get involved in projects if they can add something - in Marketing, any way. 

Management are eager to try things, and seem invested in pushing their teams to achieve.

Social life is good, but don't expect it to come to you. Making connections and meeting as many colleagues as possible will always give you a night somewhere each week. Office spaces leave a lot to be desired, however they are building a completely new HQ within 3 years.

Hard to know what the next logical career step is. But they are trying to change this! Too many managers.",
er_eaaebcb1dc8b,"Manager Trainings, international opportunities, large clients Traditional culture, office location, IT and other facilities",
er_2dfd21c8427f,"ASDA Casual Assistant - Offered additional hours regularly, but wasn't forced to take them.
- Staff discount. - Repetitive work (can get boring).",
er_73513bb60dba,"Review Globally, Complex, Comprehensive jobs. Nice management. Remote work. Less salary, less employee/more job.",
er_a1651caa2dd6,Love working for Hilton! My other co-workers are like my family everywhere I go whether on property or in corporate office. I love that I can move to various places and stay within the Hilton family. The team member travel is amazing as well. Really like my PTO accrual pace based on how long I've worked for the company. Lots of opportunity to grow within Hilton. No cons at this time. Love this company!,
er_76c0edede7f6,Technical Support Engineer flexible schedule - work from home insignificant annual salary increase and not negociable,
er_98b6cc517037,"Best company to work for Great manager/employee relations
Plenty of advancement opportunities
Pay raises based off of work by annual reviews and not seniority
Management actually enjoys working here
Fun and exciting place to work
Amazing health benefits
Great discounts
Have not come across any cut throat co-workers
Co-workers are more than happy to help you succeed
Recognition for hard work
Great Employee Enrichment program that offers contests and company get togethers with rewards
Plenty of personal sick time, vacation and even time for family illness if needed and other types of time off when needed
Great compensation benefits including shift differential pay Not working with co-workers in person can be tough at times when working from home but there is still plenty of communication between your co-workers.",
