id,text,label
er_dd46d79e3cbd,"I thought I had a career, but really I'm another peon in a call center. Benefits are great. The office is absolutely beautiful. There are always snacks, free food, events, beer, etc. Management can be pretty understanding when life happens and you need to take time off to take care of something. A few months ago, there was a large surge of hiring. Most of the hires came from a third party vendor that was closing. Some of the new hires from this location were previously denied applicants. I discovered that these new employees were being hired in Senior positions over me, making more money than me, and were even given relocation bonuses that I was told I could not have when I relocated in the previous year to work for this company. When I was first hired, the interview process seemed incredibly difficult to get through. Once they had seats to fill, it became a mad dash to find anyone with any Salesforce experience to fill the seats, and they seemed to do anything to get those people here. I am now left feeling worthless and insignificant in my surroundings. My experience, hard work, and dedication to this company is now meshed into a field of call center employees dashing to meet metrics. 

On top of the new employees that were hired from this vendor, they also hired managers. I know that people take time to adjust, but these managers are killing our vibe. Salesforce prides itself on transparency. These managers keep secrets and treat employees like worker bees. We have had multiple interactions with upper management where they will talk about a big change, and act surprised when they find out that those of us at the bottom didn't know about the change. The new managers don't understand the need for work and life balance. We previously had options to work remotely when we were ill, or even having an off day. Where we were didn't matter as long as we were doing our jobs. Now, if you are sick and want to work from home, you are asked to take PTO (since you are not given Sick time, you need to use your vacation time)more often, which encourages sick people to come to work and spread their illness throughout the building. 

Talent seems to mean nothing here as well. It's all about how many years of service. I know of employees who don't put in the effort , who barely get their work done, and they are promoted because of how long they've been here, while I train other employees, mentor, and do still meet metrics, and I'm stuck at the same level. 

You report to a manager here, but good luck finding your manager if you need something. The Managers are presented as people managers, but when it really comes down to it, they are project managers. I end up doing many small tasks for my manager, that my manager doesn't have time to do, in order to keep my team running smoothly. By no means do I blame my manager for this, but they need to take some of this off their plates. They seem to work 24 hours a day. 

We recently had a huge push to get our case load down to a specific number. Our portion of the Organization spent 10 weeks squeezing every last drop out of every single one of us to close as many cases as possible. The communication that was sent out read as ""I know you are working hard and thank you for your efforts, but work harder"". After week 8, everyone around me was miserable. There were daily meltdowns from ""Analysts"" who were mad at customers for needing help, when the real problem was the amount of work they expected us to do, and the free time outside of work they expected us to sacrifice. Of course, management didn't see these meltdowns because they were off running Reports on metrics and trying to over analyze the reason behind xyz. 

When I first came here, I really thought that this was a career. It now feels now different than any call center or retail job I have worked in. This is the longest I've ever worked at a company without receiving a promotion.",not_remote
er_7291b0349e9d,"Great Company Good attitude at the office.

Flexible with working from home

Invests in employees Technology remote supported can take a wile to get systems up.

Need to be comfortable with remote training.",remote
er_2c3be5cdb382,"A very good place, if you can find a good team Good work/life balance.

Relaxed atmosphere in the office.

Pretty good campus. Convenient location and commute options.

Easy to switch teams, and lots of different projects to choose from.

Very open source friendly internally these days.

Can be very flexible on schedule and even remote work, depending on the subdivision. There's no corporate-wide anti-remote policy, like in some places, and no informal bias overall, but some teams are much more open to it than others. Ask, and you shall receive.

""Stability"" is the key word permeating everything. If you like that, this is the place to be. If you'd rather take significant risks for great rewards, probably best look elsewhere. Management higher up tends to chase their written commitments too much, beyond common sense.

Career advancement is generally slower than in other similar companies.

Less of an ecosystem bubble than it used to be, but still a bit of a bubble, especially in Windows. If you are in the wrong spot for too long, it's easy to end up being an expert with a skillset nobody really needs outside the company.",remote
er_db8b01a3c2c2,"Great Company to Work For I have worked for a Big Four firm, a boutique firm, and a Fortune 100 company.  While each workplace had pros and cons, I would say Ryan has been the best place to work.  There is leadership and a coherent vision.  The vast majority of my fellow employees are top-notch and there is a feeling like you can, and are encouraged to, grow and advance.  But, probably most important for me, is the fact there is real flexibility here.  I am a single mother of two kindergarten-age kids.  I drop my kids off at school - it's no problem for my boss that my workday begins about 9am.  I've been able to attend mid-day school functions without guilt, knowing that I can rearrange my work hours if I need to.  I work in a city where we have some days where snow makes driving stressful and unsafe.  In general, it's okay to work from home those days.  All this flexibility makes me work harder for Ryan. There is a lot of focus on meeting revenue goals, which can be add an element of stress when we are performing at our absolute best.",remote
er_a2d239c3aa94,Great Good salary and office is nice Work life balance isn’t hood,not_remote
er_509692c1d2aa,Getting worse every day Outside work is great in our rural area. Plenty of different characters in & around the workplace. Lots of people accepting that change upto a point is required. No FT jobs mean current FT posties face an unattainable work load target preparing deliveries for all. The delivery spans vary tremendously from office to office. Some have a 6 hour delivery and management refuse to pay OT. Others get away with 3 hour delivery & finish early with no penalties.,not_remote
er_1ca6ff469167,Good benefits Good benefits and work life balance Local management was dynastic and hierarchical,not_mentioned
er_6e9de2d5a21f,"Good managers Good culture, nice benefits , good mobility Low pay, office politics, HR is pretty slow",not_mentioned
er_bd952ed02bb5,"Little ability to move up in company Remote working and vacation perks, ability to self-manage, benefits are great compensation is low for the market,  and little ability to move up in the company",remote
er_25f7503f8158,". Friendly environment
Work from home capabilities Low pay
No ability to move
No career path",remote
er_240c4024800f,"Citibank, a great place to start a career in finance It is a great place to learn as much as you want to about the financial markets.  It is also a fantastic place to work to meet business leaders in the community.  The support from Area leadership is good and very helpful and at the Area level there is plenty of opportunity to advance....especially if you are willing to commute a little bit.  Another great reason to work for Citibank is the assurance that you will be paid...granted there are always cuts in the corporate world...at the local level...your job is assured as is your paycheck.  And in a struggling economy, assured paycheck is a good thing. The one downside to working for Citibank is the simple fact that you are small fish in a huge pond.  With the total employee count for Citigroup in the hundreds of thousands... you have to be really good to make an impression.  Fortunately, it is easy to be noticed because (as I have learned) the corporate world is chock full of mediocre people.  If you are smart, and driven and want to succeed .... Citibank is a great place to be.  On the other side of that coin, there is a lot of competition for the best positions...so you have to know what you want and work hard to get there.",not_remote
er_e3f070bcc2e3,"global conglomerate good resources, work from home sometimes feels too big a company to get noticed.",remote
er_f37fad0ea496,"Design Engineer Good benefits. Challenging work.  Lots of opportunities for learning new skills. Many support lab resources on campus. Work life balance. Very short project development schedule between build cycles, which made it often difficult to verify design changes before builds.  You must rely on your experience and engineering judgment to come up with thoughts and make a call. The build cycle is your chance of validating your design with great expectation from management for design quality.",not_remote
er_6d9563a359b0,"The management is incapable. Lunch, good office. No real pros, watch lots of cons. The office location is quite fine but there are many offices. The management is worst I've seen. They don't work just watch people.
No benefits at work. They provide only hustle and chaos. 

The senior management is lying about salaries increase and not doing anything for years. Only Dutch in the senior management, not equal opportunities.

Lowest salaries, no raise.

You would never ever get benefits at work.

If you ask managers for something they even don't listen. Management evaluates themselves with the highest rankings, doing favoritism.",not_remote
er_689326c386c9,"EY is good choice for those who want rocketstart their career and are ready to sacrifice most of their free time. You wil learn twice as fast as in other as in other non consultant job. Opportunities to advance and grow are high if you work hard. People that you work with are professionals. There is not much free time. In the busy season you cannot take vacation. There are many tough dealines, which needs to be kept.",not_mentioned
er_a52ea1eadc6b,"QUOTE TO CASH PROFESSIONAL IBM is parent friendly environment. As I can observe, IBM is lenient when it comes to schedule and also our work from home times. By working twice a week at home will able you to do some things that you need to do or need to process. In our tower, no double pay during Philippine Holidays but we earn additional leave.",remote
er_c512abad0390,"Low on merit Work life balance is good, and work life is not cut-throat. Most of the employees have been there long term. Lack of diversity especially for women. Lacks a meritocracy. Senior management has very outdated ideas and is dominated by white men.",not_mentioned
er_314a9c6b36e3,salary to much trouble to get what i want to much trouble to get a salary review,not_mentioned
er_7e2402e84e6d,"No friendly work good office, possibilty of work from home Short time for project
Permanent overtime
Poor salary",remote
er_2c5b4ae3a89d,"Good experience Good environment, work flexibility, work from home Not good for contract people. They never take them on there payroll",remote
er_1bae51d78a91,"Okay place to work Flexible schedule and can work from home occasionally
Love my job responsibilities Management is not forth-coming about changes and there is continual change at this company.",remote
er_9087237ada0b,"call center for unemployment -working from home
-sometimes friendly customers
-weekly pay
-equipment supplied if needed -upper management was disorganized
-lower management was disorganized
- teams were told they were going to get better opportunities that never happened
-told we weren't going to be thrown to the wolves on the first day and that's exactly what happened
-training was 1 and half days remote",remote
er_24c54e5fc762,"Risk Advisory Staff Team Environment, quick  promotions, career group work life balance, long hours",not_mentioned
er_d535587813ec,"Senior Sales Consultant * Good work / life balance - ability to work remotely and wide traveling. * Very challenging getting salary review even with inflation and currency depreciation against USD.
* Ensure you negotiate well when coming in",remote
er_aa5016fba5ac,"Great benefits Free food, beautiful office spaces, lots of employee perks Competitive, work can be challenging at times",not_remote
er_b41b3bf23266,"A company not as efficient as it should be The company has flexible working hours due to its global reach, which is a good thing in a sense that sometimes you have to work from home all the time, but it is also a bad thing as things get done very slowly and very error prone. red tape, inefficient, too many managers, too few doers.",remote
er_ebb2f25e0ac6,"Great job for robots that don't mind being underpaid Great place to start your career - will look good on a resume, exposure to large recognizable clients, some flexibility in your schedule during slower seasons No work life balance, severely underpaid for the number of hours you work,  lacking culture, no upfront coaching (pretty much get hung out to dry with no idea what you're doing 90% of the time)",not_mentioned
er_1af575ea8e43,Good Nice office and a great atmosphere Targets can be on the high side,not_remote
er_d160912bb118,"Good company Good working culture, Nice environment No cons to specfy , only pros",not_mentioned
